id_vendas,id_veiculos,id_concessionarias,id_vendedores,id_clientes,valor_pago,data_venda,data_inclusao,data_atualizacao
176550,5,16,23,175350,311606.75,2025-03-06 13:30:01.835710+00:00,2025-03-06 13:30:01.835710+00:00,2025-03-06 13:30:01.835710+00:00
176617,4,15,38,175417,267927.78,2025-03-06 19:05:01.440348+00:00,2025-03-06 19:05:01.440348+00:00,2025-03-06 19:05:01.440348+00:00
176684,8,18,51,175484,295168.22,2025-03-07 00:40:01.442743+00:00,2025-03-07 00:40:01.442743+00:00,2025-03-07 00:40:01.442743+00:00
176751,7,25,3,175551,394226.59,2025-03-07 06:15:01.628391+00:00,2025-03-07 06:15:01.628391+00:00,2025-03-07 06:15:01.628391+00:00
176818,4,23,31,175618,273474.83,2025-03-07 11:50:01.290892+00:00,2025-03-07 11:50:01.290892+00:00,2025-03-07 11:50:01.290892+00:00
176885,2,8,53,175685,339869.11,2025-03-07 17:25:01.564034+00:00,2025-03-07 17:25:01.564034+00:00,2025-03-07 17:25:01.564034+00:00
176952,5,10,44,175752,310835.95,2025-03-07 23:00:02.149864+00:00,2025-03-07 23:00:02.149864+00:00,2025-03-07 23:00:02.149864+00:00
177019,2,21,41,175819,344677.55,2025-03-08 04:35:01.462444+00:00,2025-03-08 04:35:01.462444+00:00,2025-03-08 04:35:01.462444+00:00
177086,8,6,28,175886,295081.86,2025-03-08 10:10:01.624125+00:00,2025-03-08 10:10:01.624125+00:00,2025-03-08 10:10:01.624125+00:00
177153,2,16,23,175953,339524.37,2025-03-08 15:45:01.477230+00:00,2025-03-08 15:45:01.477230+00:00,2025-03-08 15:45:01.477230+00:00
177220,8,25,1,176020,289726.9,2025-03-08 21:20:01.497680+00:00,2025-03-08 21:20:01.497680+00:00,2025-03-08 21:20:01.497680+00:00
177287,5,28,6,176087,313270.93,2025-03-09 02:55:02.133194+00:00,2025-03-09 02:55:02.133194+00:00,2025-03-09 02:55:02.133194+00:00
177354,1,12,48,176154,239598.66,2025-03-09 08:30:01.195836+00:00,2025-03-09 08:30:01.195836+00:00,2025-03-09 08:30:01.195836+00:00
177421,1,25,3,176221,241631.16,2025-03-09 14:05:01.720421+00:00,2025-03-09 14:05:01.720421+00:00,2025-03-09 14:05:01.720421+00:00
177488,8,9,37,176288,294155.78,2025-03-09 19:40:02.098142+00:00,2025-03-09 19:40:02.098142+00:00,2025-03-09 19:40:02.098142+00:00
177555,6,5,16,176355,789206.82,2025-03-10 01:15:01.553752+00:00,2025-03-10 01:15:01.553752+00:00,2025-03-10 01:15:01.553752+00:00
177622,5,10,44,176422,313553.58,2025-03-10 06:50:01.706433+00:00,2025-03-10 06:50:01.706433+00:00,2025-03-10 06:50:01.706433+00:00
177689,5,7,47,176489,310875.26,2025-03-10 12:25:01.395505+00:00,2025-03-10 12:25:01.395505+00:00,2025-03-10 12:25:01.395505+00:00
177756,7,12,48,176555,389710.27,2025-03-10 17:55:01.657942+00:00,2025-03-10 17:55:01.657942+00:00,2025-03-10 17:55:01.657942+00:00
